PF10417.5	20.40
PF12574.4	22.00
PF09847.5	29.60
PF00244.16	24.00
PF16998.1	26.60
PF00389.26	24.60
PF02826.15	25.10
PF00198.19	23.00
PF16078.1	27.00
PF04029.10	26.40
PF16620.1	82.20
PF05635.7	23.40
PF08521.6	21.00
PF08793.6	20.10
PF11591.4	54.80
PF01257.15	24.80
PF08975.6	21.20
PF03390.11	27.30
PF03171.16	21.20
PF13532.2	27.00
PF13640.2	27.00
PF13661.2	21.40
PF13759.2	27.00
PF10014.5	24.50
PF13239.2	24.80
PF13563.2	27.00
PF03475.10	22.70
PF06983.9	21.10
PF06052.8	20.40
PF12578.4	23.40
PF00803.14	32.40
PF01073.15	20.00
PF06725.7	23.80
PF02829.10	33.00
PF10605.5	27.00
PF00725.18	21.60
PF02737.14	22.00
PF16121.1	27.30
PF16122.1	25.00
PF04419.10	22.30
PF03061.18	20.60
PF13279.2	25.50
PF13622.2	21.90
PF12729.3	27.00
PF05902.9	27.60
PF01812.16	20.90
PF06189.8	23.70
PF09038.6	20.50
PF03491.9	20.60
PF07694.8	22.30
PF01367.16	40.00
PF02739.12	24.90
PF05761.10	28.50
PF02872.14	23.60
PF02096.16	27.70
PF01591.14	21.70
PF00393.15	21.30
PF02495.13	21.40
PF02294.14	46.30
PF07698.7	29.40
PF07696.7	21.30
PF07695.7	26.90
PF07697.7	25.30
PF00001.17	23.80
PF00002.20	20.60
PF00003.18	28.50
PF13853.2	27.00
PF02949.16	25.80
PF08395.8	26.60
PF02117.12	19.00
PF10292.5	20.10
PF02175.12	21.70
PF10316.5	21.30
PF10317.5	22.80
PF10318.5	24.80
PF10327.5	20.60
PF10319.5	24.10
PF10320.5	20.40
PF10321.5	21.00
PF10322.5	26.00
PF10323.5	20.30
PF10324.5	21.10
PF10328.5	20.30
PF10325.5	21.30
PF10326.5	21.80
PF14402.2	29.10
PF17028.1	85.40
PF07388.7	24.70
PF07966.8	20.60
PF08792.6	22.90
PF00207.18	20.40
PF07678.10	20.50
PF01835.15	25.70
PF07703.10	22.70
PF07677.10	21.80
PF00004.25	20.80
PF09820.5	26.10
PF12846.3	27.50
PF13086.2	27.00
PF13087.2	27.00
PF13166.2	45.20
PF13173.2	27.00
PF13175.2	27.00
PF13191.2	27.00
PF13207.2	27.60
PF13238.2	29.40
PF13245.2	25.10
PF07724.10	20.60
PF13304.2	31.30
PF13401.2	27.00
PF13476.2	27.00
